start	end	text
0	2000	Die Musik wird weiter aufwärts.
60000	62000	Die Musik wird weiter aufwärts.
90000	92000	Ich hab nichts gesagt.
121000	122000	Nein!
138000	144000	Du, du hast, du hast mich.
145000	151000	Du, du hast, du hast mich.
153000	159000	Du, du hast, du hast mich.
159000	163000	Du hast mich, du hast mich gefragt.
163000	166000	Du hast mich gefragt, du hast mich gefragt.
166000	169000	Und ich hab nichts gesagt.
174000	181000	Du hast mich gefragt, du hast mich gefragt.
184000	187000	Willst du bist der tote Scheide?
188000	191000	Treuer sein für alle Tage.
193000	194000	Nein!
197000	198000	Nein!
199000	202000	Willst du bist zum Tod der Scheide?
202000	207000	Sie leben auch in schlechten Tagen.
209000	210000	Nein!
213000	214000	Nein!
215000	218000	Willst du bist der tote Scheide?
219000	222000	Treuer sein!
224000	225000	Nein!
228000	229000	Nein!
232000	233000	Nein!
