start	end	text
120000	149880	Ladies and gentlemen members of the FFA I'd like to take just a minute to talk
149880	155400	to you about heart and I know I don't have to tell FFA members about heart
155400	162200	but I would like to turn it over to the heart of the band our lead tuba player
162200	165200	Ron Ruff
168280	173960	I'm Ron Ruff and I represent the Montana Association. I'm Brad Sared and I'm
173960	179920	representing the Mississippi Association. I'd like to congratulate Nancy Mason and
179920	184280	the other FFA officers, I mean members that got elected as national officers. At
184280	189040	this time let's give them a warm round of applause for their accomplishments.
189040	206720	With the tuba sections please stand up. Would Mr. Inglith and Mr. Heed please report to the stage.
212840	217400	As you all know we've been working very hard this last week. We got here last
217400	221120	Sunday our first rehearsal is one o'clock in the afternoon and I must admit it
221120	227480	didn't sound like too much at first but through the work of Mr. Heath and Mr.
227480	233120	Inglith we got a very good sounding band put together. I'm very proud to be a part
233120	241440	of this band. The tuba section and I decided we would show Mr. Heath our
241480	254480	appreciation. We all chipped in and got him this t-shirt here. On the front it
254480	261360	says FFA National Band Tubas, Kansas City, Missouri 1984. On the back it says
261360	267200	honorary director for life. Mr. Heath we'd like you to have this. Wear it in
267200	277040	good health. Thank you. Now Mr. Inglith he has been assisting Mr. Heath all
277040	283000	throughout the week and he has proven his capabilities. One day Mr. Heath had
283000	291080	to go to Denver on urgent business and Mr. E took over. So we got Mr. E a t-shirt
291080	299280	also. Same thing on the front. Simply Mr. E on the back. Thank you. We appreciate
299280	302240	it very much Mr. E.
309600	314840	Would Mrs. Heath and Mrs. E please come to the stage?
314840	328480	Would Mr. E and Mr. Heath please come to the stage also? On behalf of the band we'd
328480	332800	like to give them just a small token. It's only a little bit to express how much
332800	338680	they do for us but their willingness and dedication to help us has made us the
338680	343740	band that we are for you today. Thank you Mr. Heath, Mrs. Heath and Mr. and Mrs.
343740	346060	Inglith.
360140	364020	Hello future farmers I'm Joe Campbell from the Wyoming Association. I have a
364020	367780	special friend here who's gonna help me introduce the national band. His name is
367780	374580	Kermit the Frog. Hi I'm Kermit the Frog. Okay I just want to say I am also a
374580	381820	former FFA member. You are? Yeah. Future Frogies of America.
386860	393620	Okay the next song you're gonna hear is a popular song it's on a movie
393620	399260	starring Mr. E. and it's called The Thing from the A-Team and here is the
399260	403380	national FFA band.
453620	456380	The Thing from the A-Team.
484020	491340	We'd like to welcome you to the musical extravaganza tonight and what we have
491340	494700	put together is the best of the acts that you've seen throughout the
494700	499060	convention. The national band, the chorus and the talent acts. Right now I'd like
499060	503180	to introduce to you a young lady who is going to introduce the next chorus
503180	507820	number. We hope you enjoy this musical spectacular this evening. Holly would you
507860	513580	like to tell us about the chorus? We could think of no better way to start off
513580	517460	this evening than by bringing out a little bit of that enthusiasm that I
517460	531540	know is in all of you tonight. So we're gonna rise up singing.
538820	541820	Don't arise unscathed.
541820	543820	Rise unscathed.
543820	545820	It's a brand new day.
545820	551820	See the sun is shining and the rain is falling like it was just yesterday.
551820	553820	Feel like living.
553820	555820	Yes I feel like living.
555820	557820	Got a reason to stay.
557820	559820	Don't arise unscathed.
559820	564820	Throw my troubles away cause it's a brand new day.
564820	570820	I woke up this morning and saw the rising of the sun.
570820	576820	All at once I realized that a brand new day had begun.
576820	582820	I glanced outside my window and jumped right out of my bed.
582820	587820	I looked around for my feet on the ground and this is what I said.
587820	589820	Rise unscathed.
589820	591820	It's a brand new day.
591820	599820	See the sun is shining and the rain is falling like it was just yesterday.
599820	601820	Feel like living.
601820	603820	Yes I feel like living.
603820	605820	Got a reason to stay.
605820	607820	Gonna rise unscathed.
607820	613820	Throw my troubles away cause it's a brand new day.
613820	619820	You wake up some morning and the sky seems cloudy and gray.
619820	625820	Just remember what I said and things will work out okay.
625820	631820	Open up your windows and take a breath of fresh air.
631820	637820	Stand up proud to say it out loud for all the world to hear.
