/usr/local/lib/python3.11/site-packages/whisper/timing.py:57: NumbaDeprecationWarning: [1mThe 'nopython' keyword argument was not supplied to the 'numba.jit' decorator. The implicit default value for this argument is currently False, but it will be changed to True in Numba 0.59.0. See https://numba.readthedocs.io/en/stable/reference/deprecation.html#deprecation-of-object-mode-fall-back-behaviour-when-using-jit for details.[0m
  @numba.jit
/usr/local/lib/python3.11/site-packages/whisper/transcribe.py:114: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:30.000 --> 00:33.800]  Beyo, por favor.
[00:50.020 --> 00:53.580]  Esta es una presentación de AT.
[01:00.000 --> 01:04.120]  ¡Solo para mí!
[01:20.120 --> 01:21.160]  Sí me importa.
[01:21.160 --> 01:33.160]  Una bola baja, la atrapado. Tira segunda base. Ahora primera. ¡Qué jugada!
[01:33.160 --> 01:36.160]  ¿Qué te pasa? ¡Casi me mataste!
[01:36.160 --> 01:39.160]  ¿La atrapaste? ¿No es así? ¡Tírame otra!
[01:39.160 --> 01:41.160]  Olvida, lo tiras muy fuerte.
[01:41.160 --> 01:43.160]  Seremos suave. ¡Vamos!
[01:43.160 --> 01:46.160]  Esa es la última. Debemos ir a entrenamiento.
[01:47.160 --> 01:49.160]  ¡Wow! ¡Mira eso!
[01:49.160 --> 01:50.160]  ¿Qué?
[01:50.160 --> 01:52.160]  ¡Es tu hermana!
[01:52.160 --> 01:56.160]  ¡Hola, Alfie! ¿Te gusta el vehículo de Edward?
[01:56.160 --> 01:57.160]  ¡Muy bonito!
[01:57.160 --> 01:58.160]  ¿De dónde lo agarraste?
[01:58.160 --> 02:00.160]  ¿Cómo que de dónde lo agarre? Lo compré.
[02:00.160 --> 02:01.160]  ¿Me llevas?
[02:01.160 --> 02:03.160]  Tengo a encontrarme con unos amigos. ¿Quieres venir?
[02:03.160 --> 02:04.160]  ¡Claro!
[02:04.160 --> 02:07.160]  Alfredo, el entrenamiento.
[02:07.160 --> 02:08.160]  ¿Llegara un poco tarde?
